bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort,littercond,littercort
W0509,F,2004,W0509.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9903,NA,W9903.2004,439,2005,-22.81,4.16,22,43,0.51,4,6.52,,
W0620,F,2005,W0620.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0004,UNKNOWN06,W0004.2005,471,2006,-22.99,5.36,25,40,0.63,5,6.8,,
W0602,F,2005,W0602.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0104,V095408,W0104.2005,894,2006,-23.47,4.9,19,41,0.46,4,15.59,,
W0605,F,2005,W0605.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0229,UNKNOWN11,W0229.2005,896,2006,-23.38,4.61,20,38,0.53,4,13.15,,
W0606,F,2005,W0606.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0229,W0228,W0229.2005,897,2006,-23.17,4.82,20,38,0.53,4,12.76,,
W0616,F,2005,W0616.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,W0101,W0237.2005,469,2006,-22.93,5.03,25,42,0.6,5,5.22,,
W0611,F,2005,W0611.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0425,W0012,W0425.2005,899,2006,-23.32,4.91,15,35,0.43,4,10.22,,
W0607,F,2005,W0607.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,UNKNOWN12,W8904.2005,462,2006,-23.22,5.06,17,37,0.46,4,5.44,,
W0608,F,2005,W0608.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,UNKNOWN13,W8904.2005,463,2006,-23.49,5.14,24,40,0.6,4,9.82,,
W0609,F,2005,W0609.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,V434511,W8904.2005,464,2006,-23.23,5.29,22.5,39,0.58,4,6.53,,
W0603,F,2005,W0603.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V095408,W9909.2005,461,2006,-23.06,5.67,41,48,0.85,4,3.67,,
W0621,F,2005,W0621.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9913,W0424,W9913.2005,472,2006,-23.28,4.53,18,40,0.45,5,4.53,,
W0107,F,2006,W0107.2006,2000,6,W0107.2006,2,b,Wcubs,1,no,0,P,1.5,P,W9003,W0801,W9003.2000,903,2007,-22.8,4.75,85,65,1.31,4,8.71,0.46,
W0623,F,2005,W0623.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9914,W0102,W9914.2005,474,2006,-22.95,5.43,20.5,42,0.49,5,5.4,,
W0709,F,2006,W0709.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0018,V184106,W0018.2006,908,2007,-23.01,5.46,25,41.5,0.6,4,11.65,,
W0701,F,2006,W0701.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0209,W0719,W0209.2006,905,2007,-23.34,5.03,20,40.5,0.49,4,9.56,,
W0702,F,2006,W0702.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0209,UNKNOWN09,W0209.2006,906,2007,-23.38,5.25,19,40.5,0.47,4,9.94,,
W0712,F,2006,W0712.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0517,UNKNOWN07,W0517.2006,507,2007,-23.11,5.12,12,37.5,0.32,4,7.64,,
W0713,F,2006,W0713.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0517,UNKNOWN07,W0517.2006,508,2007,-23.19,5.05,12,38,0.32,4,5.09,,
